Belanja Pegawai (Rupiah),Penduduk (Jiwa),Luas Daratan (km2),Luas Lautan (km2),Luas Wilayah (km2),IKK,IPM,PDRB/Capita (Rupiah),PAD (Rupiah),DBH Pajak (Rupiah),DBH SDA (Rupiah),Alokasi DAU (Rupiah),Nama Daerah
"830.759.913.066,00","670.458,00","23.601,91","1.856,24","25.458,15","100,81","72,19","61.141.054,67","279.443.901.301,77","1.129.742.740.295,00","1.942.413.359.695,00","249.562.937.000,00",Kab. Kutai Kartanegara
"222.807.442.408,00","158.560,00","20.381,59","0,00","20.381,59","115,02","69,99","65.806.819,95","82.989.130.200,67","49.512.577.052,00","669.836.658.321,00","600.687.747.000,00",Kab. Kutai Barat
"326.487.779.886,00","416.800,00","35.747,50","2.311,57","38.059,07","115,63","71,10","40.761.255,46","477.803.740.268,80","192.386.443.126,00","1.334.133.860.464,00","552.776.510.000,00",Kab. Kutai Timur
"284.385.685.427,00","254.503,00","7.730,88","1.132,39","8.863,27","99,12","71,00","36.429.068,85","117.731.480.928,28","76.373.446.147,00","802.181.395.991,00","386.895.907.000,00",Kab. Paser
"306.056.557.228,00","619.983,00","527,00","342,80","869,80","101,08","78,57","67.967.611,77","560.365.008.676,29","142.907.891.921,00","456.237.445.000,00","410.543.293.000,00",Kota Balikpapan
"157.148.960.421,00","174.292,00","406,70","266,47","673,17","108,05","78,92","49.606.002,34","170.123.811.101,19","106.307.773.009,00","449.842.100.821,00","215.830.009.000,00",Kota Bontang
"498.598.247.296,00","766.015,00","783,00","0,00","783,00","107,14","78,91","54.631.739,13","391.404.293.290,97","117.725.133.664,00","576.881.804.464,00","659.322.535.000,00",Kota Samarinda
"194.358.812.907,00","166.554,00","3.333,06","388,38","3.721,44","103,25","69,96","25.268.243,24","224.652.811.860,67","110.107.217.645,00","503.479.088.233,00","259.192.257.000,00",Kab. Penajam Paser Utara
"43.537.423.228,00","24.455,00","15.315,00","0,00","15.315,00","144,21","65,51","79.655.559,95","18.709.661.134,62","22.973.479.192,00","432.203.016.023,00","470.722.849.000,00",Kab. Mahakam Ulu
"685.499.014.601,00","2.612.104,00","13.851,64","49.384,22","63.235,86","112,05","71,05","33.339.181,40","981.044.559.607,00","89.855.096.206,00","12.866.361.414,00","1.427.544.997.000,00",Provinsi Sulawesi Utara
"250.547.260.484,00","246.282,00","2.871,65","562,99","3.434,64","102,74","65,73","22.001.693,51","47.338.649.102,00","13.403.775.866,00","14.408.848.841,00","556.612.417.000,00",Kab. Bolaang Mongondow
"321.657.658.794,00","336.015,00","1.114,87","484,25","1.599,12","107,67","74,37","34.367.909,48","77.933.004.819,00","18.901.183.928,00","3.691.251.598,00","656.641.151.000,00",Kab. Minahasa
"226.146.178.451,00","141.950,00","461,11","4.433,07","4.894,18","121,96","68,52","21.785.576,81","55.158.721.066,84","11.109.297.288,00","3.534.699.532,00","518.472.055.000,00",Kab. Kepulauan Sangihe
"190.421.319.194,00","221.209,00","302,89","514,79","817,68","117,36","72,43","38.355.720,70","82.927.096.690,63","19.842.497.677,00","8.415.354.147,00","476.935.367.000,00",Kota Bitung
"356.755.677.308,00","466.176,00","157,27","376,63","533,90","107,76","77,59","59.162.908,53","345.215.373.491,00","51.092.250.378,00","1.950.731.371,00","727.970.839.000,00",Kota Manado
"197.868.386.424,00","100.753,00","1.240,40","3.198,08","4.438,48","128,17","67,58","17.098.726,38","29.604.217.935,00","12.193.496.405,00","3.484.868.311,00","488.354.687.000,00",Kab. Kepulauan Talaud
"231.980.073.228,00","234.365,00","1.409,97","547,31","1.957,28","110,95","69,97","22.909.599,89","32.750.067.063,00","13.354.471.238,00","2.787.786.819,00","523.238.733.000,00",Kab. Minahasa Selatan
"173.830.294.680,00","98.013,00","114,20","0,00","114,20","113,55","74,91","28.832.320,13","26.011.141.966,00","20.461.838.855,00","5.044.294.912,00","401.366.876.000,00",Kota Tomohon
"202.501.504.636,00","217.660,00","918,49","1.357,94","2.276,43","112,15","71,49","37.390.584,87","54.686.152.326,00","18.802.247.283,00","9.504.208.427,00","496.136.006.000,00",Kab. Minahasa Utara
"115.280.896.456,00","72.203,00","275,86","1.834,83","2.110,69","120,24","65,66","23.645.347,32","19.538.293.862,00","10.250.497.768,00","1.920.197.977,00","385.429.131.000,00",Kab. Kep. Siau Tagulandang Biaro
"138.278.630.708,00","122.308,00","68,06","0,00","68,06","115,50","71,68","20.820.544,66","39.195.723.854,00","14.420.550.432,00","1.920.197.977,00","376.388.719.000,00",Kota Kotamobagu
"123.361.053.581,00","87.881,00","1.680,00","770,41","2.450,41","107,67","65,16","18.890.088,51","17.828.737.030,00","13.098.199.761,00","2.949.568.377,00","384.772.383.000,00",Kab. Bolaang Mongondow Utara
"139.041.770.151,00","116.375,00","710,83","372,46","1.083,29","109,66","68,42","29.649.821,78","19.286.383.804,00","13.355.239.312,00","2.114.960.214,00","407.185.484.000,00",Kab. Minahasa Tenggara
"96.419.968.368,00","84.440,00","910,18","484,40","1.394,58","113,19","64,44","17.672.664,29","20.255.173.247,40","14.943.321.958,00","2.685.775.027,00","341.807.077.000,00",Kab. Bolaang Mongondow Timur
"90.296.040.864,00","66.474,00","1.615,86","991,64","2.607,50","96,07","63,92","22.201.149,76","18.191.944.707,70","11.586.971.759,00","2.228.433.017,00","349.643.086.000,00",Kab. Bolaang Mongondow Selatan
"716.266.925.127,00","2.879.702,00","61.841,29","76.733,47","138.574,76","88,13","67,47","32.249.978,45","939.092.069.082,07","66.085.029.073,00","37.189.863.572,00","1.586.163.908.000,00",Provinsi Sulawesi Tengah
"457.191.859.019,00","359.495,00","9.672,70","5.004,61","14.677,31","88,33","68,17","31.405.503,87","135.255.638.703,43","54.837.788.394,00","63.456.806.643,00","869.604.156.000,00",Kab. Banggai
"171.138.178.686,00","117.526,00","2.488,79","2.869,82","5.358,61","99,07","63,45","24.771.795,44","18.882.843.132,40","9.859.325.628,00","5.532.258.900,00","465.346.799.000,00",Kab. Banggai Kepulauan
"222.039.789.438,00","132.786,00","4.043,57","1.206,62","5.250,19","91,87","66,37","31.425.802,88","53.259.653.065,62","14.270.443.299,00","6.842.690.045,00","528.033.354.000,00",Kab. Buol
"294.131.380.957,00","211.973,00","4.079,77","2.210,38","6.290,15","91,09","63,27","29.925.276,82","63.623.624.336,71","13.868.420.764,00","7.285.638.776,00","618.784.625.000,00",Kab. Toli-Toli
"329.904.955.214,00","293.470,00","4.275,08","2.859,25","7.134,33","76,50","64,42","27.550.497,76","70.883.672.512,24","14.818.393.110,00","9.695.718.330,00","659.731.826.000,00",Kab. Donggala
"176.640.658.346,00","129.814,00","3.037,04","4.226,47","7.263,51","91,20","69,69","47.693.414,79","72.794.497.090,37","24.453.400.970,00","15.705.053.460,00","509.533.134.000,00",Kab. Morowali
"392.956.870.772,00","243.025,00","7.112,25","473,06","7.585,31","84,15","68,83","29.443.434,71","73.133.891.223,90","14.666.055.002,00","7.432.458.239,00","723.089.621.000,00",Kab. Poso
"384.310.644.936,00","363.867,00","395,06","69,85","464,91","81,37","79,73","44.141.423,63","279.586.962.580,57","23.900.744.533,00","5.244.057.439,00","671.600.535.000,00",Kota Palu
"363.394.228.032,00","444.513,00","5.089,91","3.721,27","8.811,18","83,54","63,60","29.994.866,18","91.176.502.632,05","14.136.626.070,00","7.154.163.262,00","750.918.302.000,00",Kab. Parigi Moutong
"228.196.312.861,00","155.885,00","5.721,15","4.428,09","10.149,24","91,40","62,27","27.378.965,98","48.453.761.094,27","12.684.751.761,00","9.458.374.689,00","567.372.983.000,00",Kab. Tojo Una Una
"319.791.193.943,00","247.057,00","5.196,02","0,00","5.196,02","81,38","65,95","28.304.873,47","32.701.048.951,41","12.333.791.473,00","5.141.786.989,00","634.133.821.000,00",Kab. Sigi
"88.234.258.478,00","63.127,00","725,67","6.350,54","7.076,21","95,96","63,49","28.499.430,31","19.818.492.877,67","7.524.038.873,00","5.579.468.375,00","397.037.063.000,00",Kab. Banggai Laut
"171.890.909.620,00","117.164,00","10.004,28","1.114,11","11.118,39","92,73","66,57","59.182.479,69","37.206.044.507,32","15.484.918.982,00","13.457.971.762,00","558.773.483.000,00",Kab. Morowali Utara
"1.614.604.937.670,00","9.522.503,00","46.717,48","86.838,29","133.555,77","95,57","69,76","32.161.396,63","3.449.561.308.104,52","229.202.990.456,00","82.528.411.963,00","2.509.480.255.000,00",Provinsi Sulawesi Selatan
"238.245.276.272,00","196.358,00","395,83","142,60","538,43","90,00","66,59","29.596.917,20","66.246.961.750,22","16.956.801.209,00","7.426.013.260,00","494.749.832.000,00",Kab. Bantaeng
"254.955.690.865,00","173.683,00","1.174,71","520,73","1.695,44","88,86","69,07","29.182.040,20","82.525.913.590,73","14.142.666.437,00","7.454.657.615,00","510.978.699.000,00",Kab. Barru
"594.779.644.319,00","866.245,00","4.559,00","1.203,92","5.762,92","98,00","63,86","27.451.058,83","180.156.598.903,17","33.633.570.178,00","17.955.150.679,00","1.070.426.493.000,00",Kab. Bone
"389.403.431.043,00","432.141,00","1.284,63","818,24","2.102,87","92,29","66,46","22.521.416,05","128.236.254.047,06","18.913.949.739,00","7.507.033.310,00","705.099.263.000,00",Kab. Bulukumba
"259.944.588.179,00","239.707,00","1.784,93","0,00","1.784,93","98,85","70,79","20.822.048,47","56.383.446.988,95","17.058.116.599,00","7.622.858.377,00","534.335.959.000,00",Kab. Enrekang
"470.711.296.236,00","752.896,00","1.883,32","0,00","1.883,32","83,84","67,70","18.463.245,62","187.176.036.300,40","19.940.007.786,00","7.436.538.035,00","837.326.483.000,00",Kab. Gowa
"337.002.129.921,00","409.693,00","706,52","502,84","1.209,36","95,62","61,81","18.183.562,44","77.638.677.214,00","18.258.944.900,00","7.426.525.911,00","627.644.516.000,00",Kab. Jeneponto
"342.224.119.949,00","375.535,00","3.343,97","714,67","4.058,64","100,14","68,71","29.800.336,75","95.564.293.748,99","16.137.540.023,00","7.775.227.368,00","680.212.384.000,00",Kab. Luwu
"291.950.109.026,00","364.828,00","7.502,58","390,01","7.892,59","96,27","67,81","25.293.870,82","140.996.159.504,84","18.953.914.591,00","7.948.930.832,00","655.693.773.000,00",Kab. Luwu Utara
"400.981.219.826,00","397.937,00","1.619,12","82,31","1.701,43","93,69","67,76","34.216.954,90","165.487.675.628,16","22.485.781.815,00","7.580.582.133,00","697.947.111.000,00",Kab. Maros
"346.619.750.264,00","361.636,00","1.132,08","11.655,44","12.787,52","95,01","66,86","21.319.944,98","156.226.631.623,17","23.297.370.972,00","7.538.592.422,00","752.773.975.000,00",Kab. Pangkajene Kepulauan
"265.484.399.592,00","182.690,00","252,99","34,77","287,76","96,87","76,45","31.600.538,05","134.110.076.220,35","15.721.409.728,00","7.551.311.160,00","516.167.587.000,00",Kota Palopo
"221.727.619.342,00","294.383,00","6.944,88","537,48","7.482,36","102,74","70,95","28.211.866,99","177.018.897.819,76","39.881.710.099,00","149.620.443.129,00","545.609.968.000,00",Kab. Luwu Timur
"367.591.549.538,00","411.837,00","1.961,67","511,13","2.472,80","97,69","69,42","33.013.623,94","113.038.054.428,49","16.191.946.719,00","7.425.874.919,00","693.794.315.000,00",Kab. Pinrang
"291.381.249.274,00","255.853,00","798,96","741,03","1.539,99","93,75","65,36","30.610.662,98","79.491.453.854,80","15.446.677.195,00","8.523.550.433,00","585.911.082.000,00",Kab. Sinjai
"211.775.322.122,00","135.809,00","1.357,03","9.330,74","10.687,77","95,36","64,95","33.524.247,70","43.167.309.586,09","13.581.083.648,00","7.954.175.210,00","580.780.803.000,00",Kab. Kepulauan Selayar                            
"319.641.240.450,00","310.493,00","1.883,23","0,00","1.883,23","98,28","69,39","28.187.136,76","98.400.923.153,52","18.900.744.792,00","7.532.081.736,00","610.506.232.000,00",Kab. Sidenreng Rappang
"326.654.681.039,00","249.768,00","1.557,00","0,00","1.557,00","97,36","65,95","26.729.933,68","91.123.526.502,24","17.632.345.428,00","7.465.625.920,00","624.804.701.000,00",Kab. Soppeng
"323.537.546.457,00","286.390,00","566,61","931,42","1.498,03","89,21","64,96","25.323.246,68","95.625.946.515,13","15.344.199.638,00","7.523.864.660,00","595.466.518.000,00",Kab. Takalar
"268.095.530.397,00","283.214,00","1.990,22","0,00","1.990,22","104,03","66,25","17.717.057,54","101.993.901.924,06","15.618.162.185,00","7.526.600.981,00","551.496.571.000,00",Kab. Tana Toraja
"391.786.002.286,00","460.719,00","2.504,06","723,64","3.227,70","96,76","67,52","27.584.734,69","117.782.098.209,87","58.171.773.982,00","26.685.932.016,00","714.224.148.000,00",Kab. Wajo
"229.530.278.504,00","177.651,00","99,33","12,73","112,06","95,42","76,48","30.667.970,50","136.313.232.054,73","17.608.766.845,00","7.426.013.260,00","454.752.410.000,00",Kota Pare-pare
"705.704.369.665,00","1.663.479,00","199,26","995,71","1.194,97","94,35","80,53","61.603.575,41","971.859.753.605,76","109.755.389.833,00","7.436.524.755,00","1.300.764.306.000,00",Kota Makassar
"227.811.817.941,00","239.558,00","1.215,55","0,00","1.215,55","101,91","67,49","26.733.248,57","34.896.515.041,55","10.804.928.228,00","5.571.846.610,00","519.040.535.000,00",Kab. Toraja Utara
"792.563.843.887,00","2.571.562,00","38.067,70","46.513,65","84.581,35","99,75","69,31","28.451.441,37","753.657.954.463,85","60.565.883.529,00","37.088.481.543,00","1.575.959.517.000,00",Provinsi Sulawesi Tenggara
"170.642.883.348,00","114.596,00","1.212,99","1.115,27","2.328,26","97,23","63,69","14.875.199,37","39.141.765.858,26","12.317.038.717,00","4.594.729.181,00","424.357.645.000,00",Kab. Buton
"365.926.934.928,00","253.659,00","4.435,28","581,47","5.016,75","96,83","69,84","21.367.129,65","57.702.177.562,48","11.568.912.101,00","5.743.551.008,00","678.419.303.000,00",Kab. Konawe
"271.877.037.746,00","228.970,00","3.283,59","1.487,46","4.771,05","91,30","71,12","38.682.915,43","72.323.532.837,98","21.045.152.664,00","43.492.329.672,00","582.742.370.000,00",Kab. Kolaka
"342.890.909.153,00","227.941,00","1.922,16","1.398,63","3.320,79","101,93","66,96","20.326.124,55","42.457.084.844,00","10.629.905.721,00","3.936.368.299,00","658.128.350.000,00",Kab. Muna
"370.827.549.848,00","334.335,00","300,89","36,10","336,99","92,65","81,66","45.304.118,20","179.062.775.226,99","24.917.030.852,00","3.914.720.575,00","662.782.152.000,00",Kota Kendari
"235.655.953.344,00","154.487,00","221,00","71,13","292,13","105,47","73,99","40.175.058,69","69.323.259.732,12","15.233.575.084,00","4.019.804.379,00","509.013.667.000,00",Kota Bau-bau
"329.863.472.157,00","306.783,00","5.779,47","1.323,82","7.103,29","91,12","66,97","22.557.301,15","48.026.667.119,17","19.657.239.972,00","11.851.008.794,00","666.731.360.000,00",Kab. Konawe Selatan
"183.706.270.542,00","136.582,00","3.001,00","2.461,84","5.462,84","96,52","64,02","24.732.494,34","18.940.853.647,00","17.631.833.895,00","10.109.028.016,00","482.294.441.000,00",Kab. Bombana
"171.620.355.229,00","110.303,00","559,54","3.573,07","4.132,61","109,58","67,50","23.921.294,54","25.029.145.425,00","11.435.511.141,00","3.912.088.691,00","463.652.327.000,00",Kab. Wakatobi
"178.135.473.976,00","134.771,00","3.391,67","1.042,22","4.433,89","101,42","67,60","40.767.365,75","40.246.173.437,98","12.976.633.970,00","7.177.946.640,00","475.754.194.000,00",Kab. Kolaka Utara
"143.378.937.616,00","64.773,00","5.101,76","1.074,57","6.176,33","88,93","67,20","36.630.813,15","11.575.504.080,23","26.981.672.821,00","29.845.248.683,00","454.226.840.000,00",Kab. Konawe Utara
"120.793.294.406,00","62.197,00","1.864,91","1.259,51","3.124,42","114,33","65,95","34.490.144,52","12.828.354.596,00","8.823.334.122,00","4.037.336.603,00","410.109.235.000,00",Kab. Buton Utara
"57.943.480.723,00","34.226,00","867,58","868,51","1.736,09","106,15","62,56","26.900.167,20","9.717.841.083,00","5.468.269.592,00","3.899.791.670,00","315.499.213.000,00",Kab. Konawe Kepulauan
"117.230.523.978,00","119.461,00","3.634,74","0,00","3.634,74","91,53","63,60","25.930.564,72","15.406.678.172,00","12.101.152.771,00","11.154.055.868,00","402.711.812.000,00",Kab. Kolaka Timur
"91.912.658.886,00","78.630,00","1.022,89","1.124,58","2.147,47","105,68","62,57","21.521.687,39","16.156.781.359,00","5.281.691.134,00","4.624.312.167,00","356.862.831.000,00",Kab. Muna Barat
"93.686.409.906,00","115.121,00","958,31","1.050,74","2.009,05","106,29","62,56","13.966.906,52","4.504.257.695,00","6.414.951.874,00","4.662.432.361,00","358.696.369.000,00",Kab. Buton Tengah
"98.457.422.562,00","94.727,00","509,92","1.120,69","1.630,61","103,16","62,55","15.629.958,15","7.666.531.859,00","5.453.301.704,00","4.642.477.537,00","343.792.777.000,00",Kab. Buton Selatan
"771.580.708.176,00","4.230.051,00","5.780,06","9.154,93","14.934,99","111,64","73,65","43.103.962,03","3.041.195.258.456,21","170.044.728.065,00","0,00","1.268.585.388.000,00",Provinsi Bali
"497.345.234.512,00","468.346,00","418,62","485,51","904,13","114,54","79,80","95.067.131,66","3.563.589.483.327,35","78.128.158.630,00","452.025.539,00","330.336.650.000,00",Kab. Badung
"291.966.060.256,00","264.945,00","490,71","0,00","490,71","111,63","67,03","18.519.168,38","104.829.402.222,16","18.230.169.477,00","452.025.539,00","559.867.699.000,00",Kab. Bangli
"523.745.942.872,00","814.356,00","1.364,73","956,18","2.320,91","118,47","70,65","32.243.223,69","282.113.899.551,44","26.789.266.194,00","452.025.539,00","965.435.235.000,00",Kab. Buleleng
"416.052.530.796,00","492.757,00","368,00","82,73","450,73","112,40","75,70","39.169.385,27","529.864.617.918,42","26.041.854.224,00","452.025.539,00","693.573.732.000,00",Kab. Gianyar
"229.467.206.138,00","323.211,00","841,80","498,33","1.340,13","112,93","70,38","33.221.285,22","114.533.486.834,54","19.434.214.796,00","452.025.539,00","552.643.376.000,00",Kab. Jembrana
"410.089.289.649,00","545.389,00","839,54","630,07","1.469,61","106,66","65,23","23.143.596,73","232.644.013.229,58","21.722.875.697,00","452.025.539,00","729.378.991.000,00",Kab. Karangasem
"247.959.745.196,00","215.852,00","315,00","710,19","1.025,19","101,40","69,31","28.861.667,72","134.772.304.215,54","18.743.739.431,00","452.025.539,00","530.371.681.000,00",Kab. Klungkung
"485.826.051.777,00","466.647,00","1.013,88","198,77","1.212,65","116,36","74,19","37.709.923,50","327.462.528.850,00","23.081.175.073,00","452.025.539,00","811.768.631.000,00",Kab. Tabanan
"370.853.665.196,00","638.548,00","127,78","101,85","229,63","111,37","82,58","63.036.785,44","807.042.113.054,39","81.002.121.119,00","452.025.539,00","650.169.150.000,00",Kota Denpasar
"846.242.805.233,00","5.217.338,00","18.572,32","27.864,46","46.436,78","91,63","65,81","16.681.857,75","1.359.844.019.437,97","127.792.539.280,00","209.360.402.256,00","1.537.777.886.000,00",Provinsi Nusa Tenggara Barat
"503.746.003.830,00","524.677,00","3.405,63","3.691,26","7.096,89","89,23","64,15","16.717.847,19","110.079.232.349,29","22.625.320.903,00","48.822.934.007,00","880.920.216.000,00",Kab. Bima
"284.001.134.245,00","214.795,00","2.391,54","1.221,78","3.613,32","94,14","65,48","25.079.964,69","84.012.461.167,48","16.448.745.767,00","46.898.269.565,00","572.061.726.000,00",Kab. Dompu
"417.097.326.547,00","713.848,00","896,56","840,00","1.736,56","93,21","65,55","15.932.639,32","200.570.625.806,19","23.841.354.771,00","46.605.819.123,00","771.028.054.000,00",Kab. Lombok Barat
"563.433.744.815,00","1.035.355,00","1.095,03","357,83","1.452,86","91,26","63,22","13.052.583,54","165.997.896.761,43","44.235.942.442,00","46.382.623.345,00","985.217.157.000,00",Kab. Lombok Tengah
"674.876.696.389,00","1.289.907,00","1.230,76","1.100,56","2.331,32","88,25","63,70","10.827.738,95","236.147.475.250,90","47.288.394.593,00","46.395.209.201,00","1.147.731.584.000,00",Kab. Lombok Timur
"421.796.423.564,00","509.234,00","6.643,98","3.977,80","10.621,78","90,22","64,89","21.393.457,99","135.092.854.266,71","29.115.567.420,00","52.528.815.798,00","821.927.598.000,00",Kab. Sumbawa
"318.187.542.784,00","419.506,00","61,30","51,66","112,96","95,03","77,20","32.527.093,41","288.415.925.929,99","50.764.694.647,00","46.382.434.645,00","598.318.257.000,00",Kota Mataram
"230.903.707.264,00","141.294,00","222,25","24,77","247,02","93,04","73,67","23.052.868,68","30.524.799.755,78","14.844.593.191,00","46.382.434.645,00","455.972.250.000,00",Kota Bima
"176.385.594.426,00","135.031,00","1.849,02","1.028,02","2.877,04","97,58","69,26","24.201.221,01","57.982.409.736,36","37.992.213.455,00","416.517.362.345,00","400.284.503.000,00",Kab. Sumbawa Barat
"148.781.999.712,00","233.691,00","776,25","648,93","1.425,18","85,02","62,24","16.322.043,36","135.474.520.542,75","16.406.690.834,00","46.382.434.645,00","392.932.943.000,00",Kab. Lombok Utara
"859.849.830.672,00","5.359.667,00","48.718,10","80.691,72","129.409,82","95,94","63,13","15.464.122,08","995.186.120.952,06","85.850.261.053,00","2.923.200.507,00","1.827.412.640.000,00",Provinsi Nusa Tenggara Timur
"280.580.035.903,00","209.974,00","2.864,60","3.482,96","6.347,56","103,92","58,99","11.260.108,58","45.718.605.434,78","11.862.044.454,00","490.592.289,00","600.881.201.000,00",Kab. Alor
"241.660.444.001,00","220.699,00","1.284,97","165,30","1.450,27","87,36","61,04","15.023.623,15","74.823.080.564,95","10.476.887.293,00","1.424.331.250,00","501.312.256.000,00",Kab. Belu
"335.398.738.097,00","270.207,00","2.046,50","1.395,94","3.442,44","95,50","65,74","18.032.055,62","68.865.679.022,82","13.573.921.645,00","726.145.269,00","621.873.578.000,00",Kab. Ende
"297.473.872.555,00","280.178,00","1.813,20","2.348,13","4.161,32","106,84","61,90","14.796.875,37","50.183.797.225,36","14.301.711.910,00","462.048.016,00","608.246.576.000,00",Kab. Flores Timur
"314.757.131.524,00","402.320,00","5.434,76","2.719,51","8.154,27","88,23","62,39","14.518.997,18","73.214.731.552,25","12.897.313.636,00","2.981.744.784,00","681.370.762.000,00",Kab. Kupang
"210.777.597.441,00","133.552,00","1.266,00","2.046,92","3.312,92","94,44","62,81","11.025.317,77","35.341.506.859,15","11.603.695.419,00","463.088.638,00","466.007.663.000,00",Kab. Lembata
"279.211.764.820,00","318.115,00","2.096,44","576,78","2.673,22","94,79","61,67","11.120.173,40","78.284.065.871,33","13.514.550.376,00","673.965.295,00","572.870.496.000,00",Kab. Manggarai
"208.696.339.603,00","164.703,00","1.645,88","610,82","2.256,70","97,47","65,61","16.630.307,01","47.502.339.405,00","11.122.878.807,00","507.684.188,00","470.536.836.000,00",Kab. Ngada
"325.397.491.702,00","314.809,00","1.731,90","2.435,72","4.167,62","89,50","62,42","12.260.749,19","80.269.749.570,99","13.244.621.190,00","490.229.286,00","622.679.290.000,00",Kab. Sikka
"136.639.085.865,00","145.061,00","2.183,18","408,85","2.592,03","103,73","61,85","12.354.061,15","60.967.608.811,51","9.326.468.249,00","463.088.638,00","397.976.871.000,00",Kab. Sumba Barat
"275.640.819.387,00","237.119,00","7.000,50","2.915,24","9.915,74","95,26","63,22","20.560.138,11","68.222.357.517,63","15.917.214.916,00","915.710.005,00","637.391.140.000,00",Kab. Sumba Timur
"389.208.029.082,00","463.857,00","3.947,00","644,74","4.591,74","91,49","60,37","13.085.422,80","71.848.806.283,09","16.545.541.281,00","4.681.864.257,00","747.723.272.000,00",Kab. Timor Tengah Selatan
"302.569.653.047,00","263.149,00","2.669,70","306,02","2.975,72","83,34","61,54","12.837.397,26","47.974.079.043,73","14.017.045.684,00","2.940.737.076,00","582.372.204.000,00",Kab. Timor Tengah Utara
"317.530.950.917,00","438.005,00","26,18","41,97","68,15","90,63","78,14","42.706.321,21","165.449.023.460,93","34.039.918.588,00","463.088.638,00","649.542.427.000,00",Kota Kupang
"166.673.977.867,00","143.585,00","1.280,00","2.309,79","3.589,79","102,82","59,28","16.335.515,36","28.842.548.098,57","12.441.353.887,00","713.631.488,00","445.782.708.000,00",Kab. Rote Ndao
"219.769.956.210,00","256.491,00","2.397,03","3.305,91","5.702,94","91,57","60,63","10.144.673,92","91.068.685.754,22","11.641.225.573,00","463.088.638,00","506.495.526.000,00",Kab. Manggarai Barat
"177.328.263.794,00","160.180,00","1.416,96","664,18","2.081,14","99,77","63,93","10.900.364,51","29.671.653.790,77","9.909.053.678,00","463.088.638,00","432.406.320.000,00",Kab. Nagekeo
"176.768.170.969,00","307.331,00","1.480,46","734,35","2.214,81","99,42","61,31","9.751.481,72","43.510.608.957,30","11.303.014.349,00","1.211.557.588,00","467.693.510.000,00",Kab. Sumba Barat Daya                             
"104.429.164.872,00","84.174,00","1.868,74","554,00","2.422,74","100,78","58,52","10.500.604,97","22.142.086.430,67","9.378.933.809,00","566.359.588,00","351.241.387.000,00",Kab. Sumba Tengah                                 
"220.685.553.572,00","262.606,00","2.642,93","706,83","3.349,76","96,15","57,50","9.440.894,29","44.112.085.695,10","9.186.799.391,00","621.974.314,00","507.763.475.000,00",Kab. Manggarai Timur
"80.605.560.003,00","92.991,00","460,54","1.372,17","1.832,71","112,33","54,16","11.626.198,39","31.439.614.081,42","8.808.208.383,00","593.444.638,00","346.280.257.000,00",Kab. Sabu Raijua
"180.166.732.716,00","190.561,00","1.160,63","381,32","1.541,95","90,69","58,29","11.164.656,48","29.265.208.424,40","7.595.000.640,00","1.063.065.079,00","436.377.451.000,00",Kab. Malaka
"611.561.248.747,00","1.842.933,00","46.914,03","155.278,26","202.192,29","121,06","67,60","18.827.963,25","466.208.198.074,09","55.239.197.449,00","3.071.098.710,00","1.670.234.402.000,00",Provinsi Maluku
"186.892.642.426,00","122.337,00","4.465,79","7.518,72","11.984,51","118,49","61,12","16.848.142,37","32.640.578.961,44","15.910.518.714,00","2.556.221.619,00","561.838.215.000,00",Kab. Maluku Tenggara Barat
"507.101.763.760,00","422.065,00","7.953,81","7.053,80","15.007,61","107,11","69,54","14.785.761,55","120.254.443.504,22","19.474.303.190,00","1.235.652.914,00","965.391.210.000,00",Kab. Maluku Tengah
"185.116.706.013,00","125.704,00","1.031,81","3.256,85","4.288,66","130,67","64,20","19.781.261,60","59.068.867.916,54","14.142.606.096,00","1.045.013.414,00","495.979.781.000,00",Kab. Maluku Tenggara
"204.348.401.676,00","130.696,00","4.932,32","2.355,29","7.287,61","120,57","66,63","12.552.716,45","21.257.161.494,11","13.801.298.963,00","1.959.179.956,00","500.117.604.000,00",Kab. Buru                                         
"329.722.508.732,00","375.760,00","298,61","411,71","710,32","104,95","79,55","30.910.830,27","127.227.228.424,30","29.907.750.010,00","1.045.013.414,00","674.130.364.000,00",Kota Ambon
"259.584.463.554,00","208.009,00","5.033,38","3.991,38","9.024,76","107,47","63,76","11.070.709,85","25.988.089.630,80","15.391.901.290,00","1.426.770.814,00","597.525.057.000,00",Kab. Seram Bagian Barat
"165.293.132.593,00","131.707,00","6.429,88","6.061,54","12.491,42","113,14","61,15","13.394.437,09","21.548.344.163,11","47.543.541.879,00","1.876.422.071,00","530.650.657.000,00",Kab. Seram Bagian Timur
"148.792.620.422,00","102.272,00","8.152,42","8.227,86","16.380,28","123,83","61,32","26.633.330,52","28.037.720.937,21","14.191.273.676,00","1.045.013.414,00","580.686.128.000,00",Kab. Kepulauan Aru
"96.188.346.910,00","84.585,00","254,39","2.651,08","2.905,47","132,91","65,64","22.242.326,47","19.691.231.855,00","8.629.783.008,00","1.045.013.414,00","394.706.960.000,00",Kota Tual
"154.557.259.488,00","66.805,00","4.581,06","10.803,65","15.384,71","145,34","59,43","20.160.293,68","40.264.112.918,02","13.017.821.445,00","3.051.988.150,00","566.039.812.000,00",Kab. Maluku Barat Daya
