Belanja Pegawai (Rupiah),Penduduk (Jiwa),Luas Daratan (km2),Luas Lautan (km2),Luas Wilayah (km2),IKK,IPM,PDRB/Capita (Rupiah),PAD (Rupiah),DBH Pajak (Rupiah),DBH SDA (Rupiah),Alokasi DAU (Rupiah),Nama Daerah
"441.835.810.643,00","858.273,00","981,41","0,00","981,41","90,74","66,19","14.966.212,12","199.894.767.510,00","31.644.909.664,00","1.308.542.221,00","827.791.657.000,00",Kab. Wonosobo
"187.387.237.141,00","129.303,00","16,06","0,00","16,06","93,25","77,16","46.819.220,59","220.315.848.702,00","26.106.326.886,00","1.283.552.111,00","440.041.244.000,00",Kota Magelang
"197.998.078.619,00","305.052,00","45,25","41,92","87,17","93,82","73,32","22.278.642,22","178.604.460.870,00","27.375.534.242,00","1.283.552.111,00","449.055.738.000,00",Kota Pekalongan
"210.943.211.104,00","186.859,00","57,36","0,00","57,36","90,33","81,14","39.098.829,47","203.768.652.017,00","25.047.869.497,00","1.283.552.111,00","448.067.710.000,00",Kota Salatiga
"712.232.081.247,00","1.653.035,00","373,78","99,08","472,86","92,42","81,19","64.653.860,30","1.491.645.900.065,00","179.301.531.757,00","2.720.757.865,00","1.190.422.387.000,00",Kota Semarang
"414.821.209.764,00","562.269,00","46,01","0,00","46,01","98,91","80,76","61.853.777,28","425.502.779.064,00","60.377.962.032,00","1.283.552.111,00","826.753.038.000,00",Kota Surakarta
"226.119.736.590,00","280.940,00","39,68","27,64","67,32","91,47","73,55","36.373.757,48","287.343.889.954,00","27.407.378.549,00","1.283.552.111,00","482.150.715.000,00",Kota Tegal
"779.880.491.584,00","3.606.111,00","3.133,15","2.319,25","5.452,40","92,52","78,38","26.348.271,42","1.673.749.196.521,51","109.882.632.576,00","40.735.531,00","1.314.372.147.000,00",Provinsi DI Yogyakarta
"551.910.964.563,00","931.356,00","508,13","114,10","622,23","94,45","78,42","19.159.379,92","404.454.703.746,07","36.720.516.847,00","455.550.234,00","982.250.842.000,00",Kab. Bantul
"541.224.788.416,00","755.977,00","1.431,42","472,14","1.903,56","94,78","67,82","17.699.349,34","206.278.865.615,67","29.187.056.644,00","466.716.378,00","938.221.136.000,00",Kab. Gunung Kidul
"419.752.569.918,00","445.655,00","586,28","180,09","766,37","91,24","72,38","16.419.705,93","180.273.363.594,69","24.522.873.053,00","589.547.984,00","705.868.940.000,00",Kab. Kulon Progo
"597.701.348.303,00","1.062.861,00","574,82","0,00","574,82","89,55","82,15","29.558.554,67","717.151.176.028,57","64.022.144.612,00","455.626.108,00","996.492.454.000,00",Kab. Sleman
"345.005.539.954,00","410.262,00","32,50","0,00","32,50","92,68","85,32","60.626.027,39","540.504.305.181,63","52.264.225.922,00","455.626.108,00","658.504.186.000,00",Kota Yogyakarta
"3.303.951.426.824,00","39.875.806,00","47.799,75","54.718,14","102.517,89","97,50","69,74","31.647.216,02","15.817.795.024.797,10","1.260.902.082.119,00","363.607.361.979,00","3.813.411.928.000,00",Provinsi Jawa Timur
"537.876.101.584,00","1.065.620,00","1.001,44","682,06","1.683,50","97,27","62,06","14.315.165,15","200.073.202.553,75","56.842.365.348,00","25.755.996.507,00","994.460.684.000,00",Kab. Bangkalan
"706.722.594.553,00","1.693.630,00","5.782,40","1.657,30","7.439,70","95,34","69,00","32.288.724,22","367.872.665.894,10","60.761.378.882,00","21.338.360.426,00","1.375.784.247.000,00",Kab. Banyuwangi
"626.302.234.086,00","1.219.092,00","1.336,48","307,82","1.644,30","96,85","68,88","20.201.300,04","224.106.765.168,87","41.512.672.445,00","18.879.299.752,00","1.109.812.753.000,00",Kab. Blitar
"615.739.239.422,00","1.313.722,00","2.198,79","0,00","2.198,79","97,35","66,73","21.517.020,99","340.407.679.609,07","228.701.112.122,00","664.058.835.461,00","932.445.113.000,00",Kab. Bojonegoro
"529.298.154.471,00","781.753,00","1.525,97","0,00","1.525,97","90,31","64,52","15.764.802,98","177.025.949.242,13","40.220.579.988,00","19.493.047.075,00","910.319.122.000,00",Kab. Bondowoso
"506.856.337.054,00","1.251.754,00","1.191,25","1.169,17","2.360,42","100,05","74,46","38.597.258,00","715.480.938.191,16","127.869.840.433,00","15.262.911.290,00","909.888.092.000,00",Kab. Gresik
"897.936.445.473,00","2.622.421,00","3.092,34","990,16","4.082,50","98,85","64,01","18.267.501,12","524.137.897.016,96","87.440.461.236,00","19.475.371.434,00","1.697.477.217.000,00",Kab. Jember
"606.905.753.240,00","1.295.960,00","1.115,09","0,00","1.115,09","93,00","70,03","19.244.879,05","374.141.185.825,50","54.306.305.417,00","19.064.001.231,00","1.091.779.457.000,00",Kab. Jombang
"701.853.014.567,00","1.571.555,00","1.386,05","0,00","1.386,05","93,24","69,87","16.884.508,85","339.113.897.821,74","59.417.149.337,00","19.023.890.554,00","1.225.331.641.000,00",Kab. Kediri
"627.040.502.060,00","1.357.771,00","1.782,05","260,34","2.042,39","103,52","70,34","21.402.850,62","403.474.462.147,33","61.601.840.173,00","19.021.430.519,00","1.146.161.266.000,00",Kab. Lamongan
"495.213.408.196,00","1.108.060,00","1.790,90","273,04","2.063,94","102,21","63,74","18.672.963,81","242.111.541.251,56","40.480.061.329,00","19.026.635.321,00","972.852.929.000,00",Kab. Lumajang
